id,abbreviation,name,type
11214,1001 Ideas,1001 Ideas Para Mi País,NGO
10992,100% DyD,100% Diversidad y Derechos,NGO
418,11.11.11 - Koepel van de Vlaamse Noord-Zuidbeweging vzw,11.11.11 - Koepel van de Vlaamse Noord-Zuidbeweging vzw,NGO
2356,21 CUSO,21 Century Unification Service Organization,NGO
11660,360HSDI,360-Degree Health Systems Development Initiative,NGO
5597,3Com,3Com,Private organization/foundation
5550,3M,3M,Private organization/foundation
7423,48H,48 Hospital,NGO
508,Aadamiga USA,Aadamiga USA,NGO
6339,AAGAHI,AAGAHI,NGO
9789,AFDH,Aaile Al-furate foundation for relief and development and human rights,NGO
8329,AAA,Aamal Association Awareness,NGO
4212,Aamin,Aamin Organization,NGO
5623,AAPKI Foundation,AAPKI Foundation,Private organization/foundation
2074,AASAA,AASAA,NGO
2549,AASAA pool,AASAA pool,UN agency
6616,ADF,Aayo Development Foundation,Private organization/foundation
6687,ABAAD,ABAAD-Resource Center for Gender Equality,NGO
1559,AF,Abaseen Foundation,Private organization/foundation
10754,ASISD,Abbasad Initiative for Sustainable Development,NGO
11335,AIHC Inc.,ABBA's International Healing Center Inc.,NGO
5515,ABB Foundation,ABB Foundation,Private organization/foundation
3310,Abbott Laboratories,Abbott Laboratories,Private organization/foundation
2237,ABC Children's Aid,ABC Children's Aid,NGO
7293,AMQF,Abdel Mohsen Qattan Foundation,Private organization/foundation
2735,Abdul Latif Jameel Group,Abdul Latif Jameel Group,Private organization/foundation
10796,ABIFAL,Abi Fall Livelihood,NGO
7948,Ability,Ability for Human Investment,NGO
3640,AIC,ABKHAZINTERCONT,NGO
7619,ASA,Abnaa Sa'ada Association,NGO
831,AMF,Abna-Mikhlaf Foundation,NGO
4376,AAU,Abo Akademi University,Private organization/foundation
7934,AMASCA,Abo Mousa Alashary Social Charitable Association,NGO
4269,Abraham's Oasis,Abraham's Oasis,Private organization/foundation
8961,ABO,Abrar Organization,NGO
1092,ABRAR,ABRAR Organization for Development and Care of People with Disablilities,NGO
3130,ABSDWC,Abs Development for Women and Children,NGO
2817,Abt Associates,Abt Associates,Private organization/foundation
2613,TAQA,Abu Dhabi National Energy Company,Private organization/foundation
5224,ADTA,Abu Dhabi Tourism Authority,Government
10702,AF,Abukloi Foundation South Sudan,NGO
2343,ALC,Abundant Life Church,NGO
7762,ARA,Abwab Al-Rahma Relief and Development Organization,NGO
7675,AYF,Abyan Youth Foundation,NGO
122,ACAD,Abyei Community Action for Development,NGO
8966,ADA,Abyei Development Association,NGO
8726,ADCO,Abyei Development Charity Organization,NGO
8361,ASSDHR,Academic for Strategic Studies and Development and Human Rights,NGO
3278,ACTH,Academy Charity Teaching Hospital,Private organization/foundation
4904,AED,Academy for Educational Development,NGO
3421,ACTS International,A Call to Serve International,NGO
2977,ACBAR,ACBAR - Agency Coordinating Body for Afghan Relief,NGO
2755,ASWA,Accelerated Sanitation and Water for All (ASWA),NGO
767,Accenture,Accenture,Private organization/foundation
3753,Access Aid ,Access Aid and Development,NGO
9241,AAF,Access Aid Foundation,NGO
769,AAI,Access Aid International,NGO
1563,ADRO,Access Development and Relief Organization,NGO
3275,AEI,Access Education International,NGO
7998,Aid-Africa,Access Initiative for African Development,NGO
626,ARD,Access Relief and Development,NGO
5619,APET,"Access to Prevention, Education, and Treatment",NGO
722,AQEP,Access to Quality Education Program,Government
294,ASD,Access to Social Development,NGO
10235,ACCSI,Acción Ciudadana Contra el SIDA,Private organization/foundation
8516,ACH- Spain,Accion Contra el Hambre - Spain,NGO
11559,AHPV,Acción Humanitaria por Venezuela,NGO
11362,ACSOL,Acción Solidaria,NGO
1723,ACE Charitable Foundation,ACE Charitable Foundation,Private organization/foundation
2831,Aceh’s People Forum,Aceh’s People Forum,NGO
8467,ACF - Canada,ACF - Canada,NGO
8501,ACF - France,ACF - France,NGO
8458,ACF - UK,ACF - UK,NGO
8569,ACF - USA,ACF - USA,NGO
169,APOC,Achieving the Potential in Crops,NGO
2442,ACH-UK/INTERMON,ACH-UK/INTERMON,NGO
11712,ASF,Acid survivors Foundation,NGO
4827,ACLU,ACLU,NGO
2838,ACM-YMCA,ACM-YMCA,NGO
1045,ACRA,ACRA - Cooperazione Rurale in Africa e America Latina (Fondazione ACRA),NGO
11872,AADO,Across African Development Organization,NGO
5401,ACT Alliance,ACT Alliance,NGO
8507,ACT/AFP,ACT Alliance / Act for Peace,NGO
8548,ACT/AF,ACT Alliance / Amity Foundation,NGO
8437,ACT/BFTW,ACT Alliance / Bread for the World,NGO
8430,ACT/CLWR,ACT Alliance / Canadian Lutheran World Relief,NGO
2918,ACT/CA,ACT Alliance / Christian Aid,NGO
3291,ACT/CAMN,ACT Alliance / Christian Aid Ministries Nehemia,NGO
