Donor,amountUSD
"Germany, Government of",163399161
"United States of America, Government of",903803816
"Canada, Government of",30068666
European Commission's Humanitarian Aid and Civil Protection Department,98852207
Central Emergency Response Fund,56218866
"Ireland, Government of",12854014
"Italy, Government of",3556838
"Sweden, Government of",46637746
"Denmark, Government of",7509149
United Nations Population Fund,1507325
World Bank,42649999
"Luxembourg, Government of",2842767
"United Kingdom, Government of",220376763
GAVI Alliance,1000000
WELLCOME TRUST,4132050
"Norway, Government of",23958352
US Fund for UNICEF,1833037
"Switzerland, Government of",19450665
"Spain, Government of",837027
"Belgium, Government of",27553160
Mercy Corps,857449
"",15230092
United Nations Children's Fund,46662132
"Malta, Government of",29481
United Nations Foundation,887
"Austria, Government of",115741
"France, Government of",8299224
Office for the Coordination of Humanitarian Affairs,3649679
Private (individuals & organizations),2917862
UN Programme on HIV/AIDS,85000
"Japan, Government of",11090236
World Health Organization,880792
UNICEF National Committee/Netherlands,40509
UNICEF National Committee/Belgium,165720
UNICEF National Committee/Japan,61194
UNICEF National Committee/France,873014
UNICEF National Committee/Germany,1596929
Democratic Republic of the Congo Humanitarian Fund,79707195
"Liechtenstein, Government of",201310
World Food Programme,10808469
United Nations High Commissioner for Refugees,1142857
UPS Foundation,321001
"Finland, Government of",4277948
UN Peacebuilding Fund,399990
"Korea, Republic of, Government of",200000
UNICEF National Committee/United Kingdom,1905601
Bill and Melinda Gates Foundation,4000000
Jersey Overseas Aid,544487
Women's Refugee Commission,110057
European Commission EuropeAid Development and Cooperation,3184475
"Netherlands, Government of",24914099
UNICEF National Committee/Denmark,254644
"Congo, Democratic Republic of, Government of",5146451
Paul G. Allen,3894094
