id,amountUSD,budgetYear,createdAt,date,decisionDate,description,firstReportedDate,flowType,newMoney,originalCurrency,method,parentFlowId,status,updatedAt,versionId,boundary,onBoundary,source_Organization_id,source_UsageYear_id,Donor,source_UsageYear_name,destination_Plan_id,destination_Organization_id,destination_GlobalCluster_id,destination_Location_id,destination_iso3,destination_Project_id,destination_UsageYear_id,destination_Plan_name,Recipient.Organization,destination_GlobalCluster_name,Destination.Country,destination_Project_name,destination_UsageYear_name,report_type,report_organisation,report_channel,report_date,originalAmount,source_Location_id,source_iso3,source_Location_name,destination_Emergency_id,destination_Emergency_name,refCode,source_GlobalCluster_id,source_GlobalCluster_name,exchangeRate,source_Plan_id,source_Plan_name,grandBargainEarmarkingType,source_Emergency_id,source_Emergency_name,source_Project_id,source_Project_name,destination_Cluster_id,destination_Cluster_name,source_Cluster_id,source_Cluster_name,analysis_date,emergency_boundary,plan_boundary,description_search_flag,potential_overlap_flag
144803,876488,2016,2016-07-12T14:30:00Z,2016-10-18T00:00:00Z,2016-10-18T00:00:00Z,Thematic 8- Cross Sectoral - Haiti - Hurricane (SM1499101264),2016-07-12T14:30:00Z,Standard,t,USD,Traditional aid,,paid,2016-12-15,1,incoming,single,4337,36,UNICEF National Committee/France,2016,527,2915,"",96,HTI,46956,36,Haiti Flash Appeal: Hurricane Matthew 2016,United Nations Children's Fund,"",Haiti,to be allocated to specific projects,2016,Primary,United Nations Children's Fund,Other,2016-07-12T14:30:00.000Z,,"","","",639,CARIBBEAN - Hurricane Matthew - October 2016,SM1499101264,"","",,"","","","","",,"","","","","",2016-10-18,Incoming,Incoming,FALSE,FALSE
147576,150000,2017,2017-02-06T13:23:12.374Z,2016-10-10T00:00:00Z,2016-10-10T00:00:00Z,(Haiti) Logistics Support and Relief Commodities (USAID/OFDA),2016-10-05T00:00:00Z,Standard,t,USD,Traditional aid,,commitment,2017-02-08,2,incoming,single,2933,36,"United States of America, Government of",2016,"",105,"",96,HTI,,36,"",American Red Cross,"",Haiti,"",2016,Primary,"United States of America, Government of",Email,2017-01-06T00:00:00.000Z,,237,USA,United States,639,CARIBBEAN - Hurricane Matthew - October 2016,"","","",,"","","","","",,"","","","","",2016-10-10,Incoming,,FALSE,FALSE
147577,1652560,2017,2017-11-09T13:47:49.438Z,2016-10-04T00:00:00Z,2016-10-04T00:00:00Z,"Haiti/Hurricane-Matthew (Haiti) Logistics Support and Relief Commodities, Health, Humanitarian Studies, Shelter and Settlements, WASH (USAID/OFDA)",2016-10-05T00:00:00Z,Standard,t,USD,Traditional aid,,commitment,2017-11-09,3,incoming,single,2933,36,"United States of America, Government of",2016,"",5373,"",96,HTI,,36,"",Catholic Relief Services,"",Haiti,"",2016,Primary,"United States of America, Government of",Email,2017-11-02T00:00:00.000Z,,237,USA,United States,639,CARIBBEAN - Hurricane Matthew - October 2016,AID-OFDA-G-17-00011,"","",,"","","","","",,"","","","","",2016-10-04,Incoming,,FALSE,FALSE
147661,896860,2016,2017-03-27T11:28:04.060Z,2016-10-08T00:00:00Z,2016-10-08T00:00:00Z,"(Haiti)To assist in the establishment and management of temporary shelter for displaced people, the distribution of essential items such as tarps, shelter kits, hygiene kits, and water treatment supplies and the coordination of relief stocks entering the country.",2016-10-10T00:00:00Z,Standard,t,CAD,Traditional aid,,commitment,2017-03-27,2,incoming,single,2928,36,"Canada, Government of",2016,527,2986,"",96,HTI,46961,36,Haiti Flash Appeal: Hurricane Matthew 2016,International Organization for Migration,"",Haiti,to be allocated to specific project,2016,Primary,International Organization for Migration,Email,2017-03-20T00:00:00.000Z,1200000,40,CAN,Canada,639,CARIBBEAN - Hurricane Matthew - October 2016,"","","",1.338,"","","","","",,"","","","","",2016-10-08,Incoming,Incoming,FALSE,FALSE
147662,764526,2016,2016-10-10T12:29:00Z,2016-10-08T00:00:00Z,2016-10-08T00:00:00Z,"(Haiti) To assist in the provision of food rations to the most vulnerable, including women and children, cash assistance to allow beneficiaries to meet their own needs, and the delivery and coordination of food assistance to the heavily impacted regions of Haiti which remain isolated or hard to reach.",2016-10-10T12:29:00Z,Standard,t,CAD,Traditional aid,,commitment,2016-11-18,1,incoming,single,2928,36,"Canada, Government of",2016,527,3049,6,96,HTI,46984,36,Haiti Flash Appeal: Hurricane Matthew 2016,World Food Programme,Food Security,Haiti,Emergency Food and Nutrition Assistance To People Affected In Haiti By Hurricane Matthew,2016,Primary,"Canada, Government of",Other,2016-10-10T12:29:00.000Z,1000000,40,CAN,Canada,639,CARIBBEAN - Hurricane Matthew - October 2016,"","","",1.308,"","","","","",,"",2047,"Food Security, Nutrition and Emergency Agriculture","","",2016-10-08,Incoming,Incoming,FALSE,FALSE
147663,679245,2016,2016-10-10T12:31:00Z,2016-10-08T00:00:00Z,2016-10-08T00:00:00Z,"(Haiti) To assist in the delivery of water and sanitation services which will be critical in containing outbreaks such as cholera. Additionally, funding will provide food assistance nutrition inputs and protection services to the most vulnerable populations, with a specific emphasis on women and children (D003991) (SM160503)",2016-10-10T12:31:00Z,Standard,t,CAD,Traditional aid,,paid,2016-12-15,1,incoming,single,2928,36,"Canada, Government of",2016,527,2915,"",96,HTI,46956,36,Haiti Flash Appeal: Hurricane Matthew 2016,United Nations Children's Fund,"",Haiti,to be allocated to specific projects,2016,Primary,United Nations Children's Fund,Other,2016-10-10T12:31:00.000Z,900000,40,CAN,Canada,639,CARIBBEAN - Hurricane Matthew - October 2016,SM160503,"","",1.325001,"","","","","",,"","","","","",2016-10-08,Incoming,Incoming,FALSE,FALSE
147664,229358,2016,2016-10-10T12:35:00Z,2016-10-10T00:00:00Z,2016-10-07T00:00:00Z,(Haiti) Support to IFRC emergency appeal  in response to Hurricane Matthew in Haiti (D000396),2016-10-10T12:35:00Z,Standard,t,CAD,Traditional aid,,commitment,2016-11-18,1,incoming,single,2928,36,"Canada, Government of",2016,"",4393,"",96,HTI,,36,"",International Federation of Red Cross and Red Crescent Societies,"",Haiti,"",2016,Primary,"Canada, Government of",Other,2016-10-10T12:35:00.000Z,300000,40,CAN,Canada,639,CARIBBEAN - Hurricane Matthew - October 2016,D000396,"","",1.308,"","","","","",,"","","","","",2016-10-10,Incoming,,FALSE,FALSE
147665,215023,2016,2016-10-10T12:37:00Z,2016-10-10T00:00:00Z,2016-10-07T00:00:00Z,(Haiti) Contribution from the Canadian Humanitarian Assistance Fund (CHAF) in response to Hurricane Matthew (D002717),2016-10-10T12:37:00Z,Standard,t,CAD,Traditional aid,,commitment,2016-11-18,1,incoming,single,2928,36,"Canada, Government of",2016,527,2849,"",96,HTI,46963,36,Haiti Flash Appeal: Hurricane Matthew 2016,Save the Children,"",Haiti,to be allocated to specific projects,2016,Primary,"Canada, Government of",Other,2016-10-10T12:37:00.000Z,281250,40,CAN,Canada,639,CARIBBEAN - Hurricane Matthew - October 2016,D002717,"","",1.308,"","","","","",,"","","","","",2016-10-10,Incoming,Incoming,FALSE,FALSE
147808,285874,2016,2016-10-13T10:07:00Z,2016-10-12T00:00:00Z,2016-10-12T00:00:00Z,(Haiti) Emergency Plan of Action Haiti: Hurricane Matthew (ECHO/DRF/BUD/2016/91018),2016-10-13T07:02:07Z,Standard,t,EUR,Traditional aid,152963,commitment,2017-06-16,1,incoming,single,8523,36,European Commission's Humanitarian Aid and Civil Protection Department,2016,"",4393,11,96,HTI,,36,"",International Federation of Red Cross and Red Crescent Societies,Water Sanitation Hygiene,Haiti,"",2016,Primary,European Commission's Humanitarian Aid and Civil Protection Department,From EDRIS,2016-10-13T07:02:07.000Z,255000,"","","",639,CARIBBEAN - Hurricane Matthew - October 2016,"ECHO/DRF/BUD/2016/91018, [EDRIS:-40156]","","",0.892,"","","","","",,"","","","","",2016-10-12,Incoming,,FALSE,FALSE
147721,448430,2016,2016-10-11T14:26:00Z,2016-10-07T00:00:00Z,2016-10-07T00:00:00Z,"(Haiti) Multilateral contribution to IFRC: Support to the Haitian Red Cross Society (HRCS) to assist 50.000 people affected by Hurricane """"Matthew"""" for 12 months. The response will focus on the following areas of intervention: Health; Water, Sanitation and hygiene; Shelter (including Household non-food items) and Disaster risk reduction (DRR). (Appeal n° MDRHT012)",2016-10-11T14:30:34Z,Standard,t,EUR,Traditional aid,,commitment,2016-10-11,1,incoming,single,3774,36,"Italy, Government of",2016,"",4393,"",96,HTI,,36,"",International Federation of Red Cross and Red Crescent Societies,"",Haiti,"",2016,Primary,"Italy, Government of",From EDRIS,2016-10-11T14:30:34.000Z,400000,110,ITA,Italy,639,CARIBBEAN - Hurricane Matthew - October 2016,"Appeal n° MDRHT012, [EDRIS:79658]","","",0.892,"","","","","",,"","","","","",2016-10-07,Incoming,,FALSE,FALSE
