Country Code,Country,Income Type,Region,Source,Classification,Approval Date,Last Updated,Project Title,Project ID,Total Committed Amount (original currency mn),x : USD,Total Amount Committed (USD mn),Loan Amount Committed (USD mn),Grant Amount Committed (USD mn),Grant Portion,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Nov-19,Dec-19,Jan-20,Mar-20,Total Disbursed,Comment,Press release/project website,Additional source,potential_duplication,Flow ID
IDN,Indonesia,Lower middle income,East Asia & Pacific,"Denmark, Government of",,2018-10-01,2018-10-11,"Restoration of basic services and critical infrastructure and emergency relief including access to clean water, shelter, NFIs, and protection of families and children.",2017-12471,0.4,6.38,0.062696,,0.062696,1,0.062696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.062696,,,,FALSE,180909
IDN,Indonesia,Lower middle income,East Asia & Pacific,"Italy, Government of",,2018-10-01,2019-06-17,Multilateral contribution to IFRC to provide assistance to affected population.,"",0.2,0.88,0.227273,,0.227273,1,0.227273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.227273,,,,FALSE,188377
IDN,Indonesia,Lower middle income,East Asia & Pacific,"Denmark, Government of",,2018-10-02,2018-10-10,Support after earthquake and tsunami through the  Danish Emergency Management Agency (DEMA),2017-48730,2,6.38,0.31348,,0.31348,1,0.31348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31348,,,,FALSE,180993
IDN,Indonesia,Lower middle income,East Asia & Pacific,"Australia, Government of",,2018-10-03,2019-06-25,"Meeting basic reproductive health needs and protecting women, girls and affected population in Central Sulawesi disaster affected areas: Moving from emergency to the recovery and rehabilitation phase.","",1,1.447,0.691085,,0.691085,1,0.691085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.691085,,,,FALSE,194303
IDN,Indonesia,Lower middle income,East Asia & Pacific,"Ireland, Government of",,2018-10-05,2018-10-11,To save lives and alleviate suffering (Transport),PLAN ERFS 2018,0.073728,0.855,0.086232,,0.086232,1,0.086232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.086232,,,,FALSE,181423
IDN,Indonesia,Lower middle income,East Asia & Pacific,"Ireland, Government of",,2018-10-05,2018-11-12,To save lives and alleviate suffering,WOV ERFS 2018,0.105,0.855,0.122807,,0.122807,1,0.122807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122807,,,,FALSE,183411
IDN,Indonesia,Lower middle income,East Asia & Pacific,"Sweden, Government of",,2018-10-05,2018-12-21,Humanitarian response to affected population. Local implementation partner; IFRC / Palang Merah Indonesia,"",8.56,8.814,0.971182,,0.971182,1,0.971182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.971182,,,,FALSE,185533
IDN,Indonesia,Lower middle income,East Asia & Pacific,"Sweden, Government of",,2018-10-05,2018-12-21,Secondment of Disaster Waste Management Expert to UNDAC to support OCHA/UNDAC team in relation to the earthquake in Sulawesi.,"",0.21,8.814,0.023826,,0.023826,1,0.023826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023826,,,,FALSE,185555
IDN,Indonesia,Lower middle income,East Asia & Pacific,"Sweden, Government of",,2018-10-05,2019-05-28,Sulawesi earthquake and tsunami response.,"",3.511466,8.814,0.398396,,0.398396,1,0.398396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.398396,,,,FALSE,188287
IDN,Indonesia,Lower middle income,East Asia & Pacific,"Netherlands, Government of",,2018-10-06,2019-10-31,For Dutch Relief Alliance's Indonesia Joint Operation,"",0.152133,0.914,0.166447,,0.166447,1,0.166447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166447,,,,FALSE,200379
