destination_Organization_id,id,amountUSD,budgetYear,createdAt,date,decisionDate,description,firstReportedDate,flowType,newMoney,originalCurrency,method,parentFlowId,status,updatedAt,versionId,boundary,onBoundary,source_Organization_id,source_UsageYear_id,Donor,source_UsageYear_name,destination_Plan_id,destination_GlobalCluster_id,destination_Location_id,destination_iso3,destination_Project_id,destination_UsageYear_id,destination_Plan_name,Recipient.Organization,destination_GlobalCluster_name,Destination.Country,destination_Project_name,destination_UsageYear_name,report_type,report_organisation,report_channel,report_date,originalAmount,source_Location_id,source_iso3,source_Location_name,destination_Emergency_id,destination_Emergency_name,refCode,source_GlobalCluster_id,source_GlobalCluster_name,exchangeRate,source_Plan_id,source_Plan_name,grandBargainEarmarkingType,source_Emergency_id,source_Emergency_name,source_Project_id,source_Project_name,destination_Cluster_id,destination_Cluster_name,source_Cluster_id,source_Cluster_name,Recipient.Organization.Type,analysis_date,flow_date_type,emergency_boundary,plan_boundary,description_search_flag,potential_overlap_flag
"",180993,313480,2018,2018-10-04T04:25:34.177Z,2018-10-02T00:00:00Z,2018-10-02T00:00:00Z,Support after earthquake and tsunami through the  Danish Emergency Management Agency (DEMA),2018-10-03T00:00:00Z,Standard,t,DKK,Traditional aid,,commitment,2018-10-10,1,incoming,single,3776,39,"Denmark, Government of",2018,"","",104,IDN,,39,"","","",Indonesia,"",2018,Primary,"Denmark, Government of",From EDRIS,2018-10-03T00:00:00.000Z,2000000,61,DNK,Denmark,708,INDONESIA: Tsunami/Earthquake – September 2018,2017-48730,"","",6.38,"","","","","",,"","","","","",,2018-10-02,approved date,Incoming,,FALSE,FALSE
"",181725,1169591,2018,2018-10-17T04:26:03.891Z,2018-10-16T00:00:00Z,2018-10-16T00:00:00Z,To support the affected population,2018-10-16T00:00:00Z,Standard,t,EUR,Traditional aid,,commitment,2018-10-17,1,incoming,single,4546,39,"Austria, Government of",2018,"","",104,IDN,,39,"","","",Indonesia,"",2018,Primary,"Austria, Government of",From EDRIS,2018-10-16T00:00:00.000Z,1000000,15,AUT,Austria,708,INDONESIA: Tsunami/Earthquake – September 2018,ID.7.08.47/0001-VII.3/2018,"","",0.855,"","","","","",,"","","","","",,2018-10-16,reported date,Incoming,,FALSE,FALSE
"",183119,50556,,2018-11-06T18:58:40.467Z,2018-10-31T00:00:00Z,"",Indonesia: MAF Sulawesi Earthquake relief flights through HA-EAA (7F-10170.01.02),2018-11-01T00:00:00Z,Standard,t,CHF,Traditional aid,,commitment,2018-11-06,1,incoming,single,2924,39,"Switzerland, Government of",2018,"","",104,IDN,,39,"","","",Indonesia,"",2018,Primary,"Switzerland, Government of",Email,2018-11-01T00:00:00.000Z,50000,217,CHE,Switzerland,708,INDONESIA: Tsunami/Earthquake – September 2018,7F-10170.01.02,"","",0.989,"","","","","",,"","","","","",,2018-10-31,approved date,Incoming,,FALSE,FALSE
"",186385,101598,2018,2019-01-15T04:25:58.958Z,2019-01-07T00:00:00Z,2019-01-07T00:00:00Z,Water/Sanitation,2019-01-14T00:00:00Z,Standard,t,EUR,Traditional aid,,commitment,2019-01-15,1,incoming,single,4314,39,"France, Government of",2018,"",11,104,IDN,,39,"","",Water Sanitation Hygiene,Indonesia,"",2018,Primary,"France, Government of",From EDRIS,2019-01-14T00:00:00.000Z,89000,76,FRA,France,708,INDONESIA: Tsunami/Earthquake – September 2018,"","","",0.876,"","","","","",,"","","","","",,2019-01-07,approved date,Incoming,,FALSE,FALSE
"",186386,114155,2018,2019-01-15T04:25:59.448Z,2019-01-07T00:00:00Z,2019-01-07T00:00:00Z,First aid,2019-01-14T00:00:00Z,Standard,t,EUR,Traditional aid,,commitment,2019-01-15,1,incoming,single,4314,39,"France, Government of",2018,"",4,104,IDN,,39,"","",Emergency Shelter and NFI,Indonesia,"",2018,Primary,"France, Government of",From EDRIS,2019-01-14T00:00:00.000Z,100000,76,FRA,France,708,INDONESIA: Tsunami/Earthquake – September 2018,"","","",0.876,"","","","","",,"","","","","",,2019-01-07,approved date,Incoming,,FALSE,FALSE
"",187600,202312,2018,2019-02-23T04:25:38.908Z,2018-10-20T00:00:00Z,2018-10-20T00:00:00Z,(Through Spanish Agency for International Development Cooperation - AECID). Provide shelter items: tents. In kind.,2019-02-22T00:00:00Z,Standard,t,EUR,Traditional aid,,commitment,2019-02-25,1,incoming,single,5319,39,"Spain, Government of",2018,"",4,104,IDN,,39,"","",Emergency Shelter and NFI,Indonesia,"",2018,Primary,"Spain, Government of",From EDRIS,2019-02-22T00:00:00.000Z,175000,209,ESP,Spain,708,INDONESIA: Tsunami/Earthquake – September 2018,"","","",0.865,"","",tightly earmarked,"","",,"","","","","",,2018-10-20,approved date,Incoming,,FALSE,FALSE
1228,186270,320312,,2019-01-11T16:00:32.554Z,2018-12-17T00:00:00Z,2018-12-17T00:00:00Z,Shelter Construction for Earthquake & Tsunami Affected Families in Central Sulawesi,2019-01-09T00:00:00Z,Standard,t,JPY,Traditional aid,,paid,2019-01-11,1,incoming,single,4537,39,"Japan, Government of",2018,669,4,104,IDN,,39,Indonesia: Central Sulawesi Earthquake Response Plan 2018,CWS Japan,Emergency Shelter and NFI,Indonesia,"",2018,Primary,"Japan, Government of",Email,2019-01-09T00:00:00.000Z,35474524,112,JPN,Japan,708,INDONESIA: Tsunami/Earthquake – September 2018,"","","",110.75,"","","","","",,"",4347,Shelter,"","",NGO,2018-12-17,approved date,Incoming,Incoming,FALSE,FALSE
1228,203900,272606,,2020-01-15T16:30:52.031Z,2019-11-27T00:00:00Z,2019-11-27T00:00:00Z,Construction of family toilets & promotion of hygiene for the affected families of Central Sulawesi (Earthquake),2020-01-14T00:00:00Z,Standard,t,JPY,Traditional aid,,paid,2020-01-15,1,incoming,single,4537,40,"Japan, Government of",2019,"","",104,IDN,,40,"",CWS Japan,"",Indonesia,"",2019,Primary,"Japan, Government of",Email,2020-01-14T00:00:00.000Z,29842219,112,JPN,Japan,708,INDONESIA: Tsunami/Earthquake – September 2018,"","","",109.47,"","","","","",,"","","","","",NGO,2019-11-27,approved date,Incoming,,FALSE,FALSE
1418,192252,44982,,2019-05-27T08:44:00.945Z,2019-05-13T00:00:00Z,2018-10-18T00:00:00Z,Provision of shelters.,2019-05-13T00:00:00Z,Standard,f,QAR,Traditional aid,,paid,2019-05-27,1,internal,single,1418,39,Qatar Charity,2018,"",4,104,IDN,,39,"",Qatar Charity,Emergency Shelter and NFI,Indonesia,"",2018,Primary,Qatar Charity,Email,2019-05-13T00:00:00.000Z,164500,"","","",708,INDONESIA: Tsunami/Earthquake – September 2018,"","","",3.657,"","",earmarked,"","",,"","","","","",NGO,2018-10-18,disbursement date,Incoming,,FALSE,FALSE
1752,187403,139423,,2019-02-18T17:14:21.358Z,2019-01-25T00:00:00Z,2019-01-25T00:00:00Z,"Inclusive Health Services to Affected Population of Earthquake and Tsunami in Sulawesi: Water, Sanitation & Hygiene Promotion















:",2019-01-21T00:00:00Z,Standard,f,CHF,Traditional aid,,commitment,2019-02-18,1,internal,single,2400,40,Swiss Solidarity,2019,"",11,104,IDN,,40,"",CBM International (formerly Christian Blind Mission),Water Sanitation Hygiene,Indonesia,"",2019,Primary,Swiss Solidarity,Email,2019-01-21T00:00:00.000Z,137053,"","","",708,INDONESIA: Tsunami/Earthquake – September 2018,291.005 / P3872,"","",0.983,"","",earmarked,"","",,"","","","","",NGO,2019-01-25,approved date,Incoming,,FALSE,FALSE
