id,amountUSD,budgetYear,createdAt,date,decisionDate,description,firstReportedDate,flowType,newMoney,originalCurrency,method,parentFlowId,status,updatedAt,versionId,boundary,onBoundary,source_Organization_id,source_UsageYear_id,Donor,source_UsageYear_name,destination_Plan_id,destination_Organization_id,destination_GlobalCluster_id,destination_Location_id,destination_iso3,destination_Project_id,destination_UsageYear_id,destination_Plan_name,Recipient.Organization,destination_GlobalCluster_name,Destination.Country,destination_Project_name,destination_UsageYear_name,report_type,report_organisation,report_channel,report_date,originalAmount,source_Location_id,source_iso3,source_Location_name,destination_Emergency_id,destination_Emergency_name,refCode,source_GlobalCluster_id,source_GlobalCluster_name,exchangeRate,source_Plan_id,source_Plan_name,grandBargainEarmarkingType,source_Emergency_id,source_Emergency_name,source_Project_id,source_Project_name,destination_Cluster_id,destination_Cluster_name,source_Cluster_id,source_Cluster_name,analysis_date,emergency_boundary,plan_boundary,description_search_flag,potential_overlap_flag
203499,879992,2019,2020-01-08T04:25:15.086Z,2020-01-07T00:00:00Z,2019-12-31T00:00:00Z,FAO Integrated Emergency Support to Affected Communities caused by persistent Drought conditions in Lesotho,2020-01-01T00:00:00Z,Standard,f,"",Traditional aid,,paid,2020-04-02,3,internal,single,4762,40,Central Emergency Response Fund,2019,948,4399,6,125,LSO,165918,41,Lesotho Flash Appeal 2019-2020,Food & Agriculture Organization of the United Nations,Food Security,Lesotho,Food Security,2020,Primary,Central Emergency Response Fund,From CERF,2020-01-08T00:00:00.000Z,,"","","","","",19-RR-FAO-038,"","",,"","",unearmarked,"","",,"",5319,FOOD SECURITY,"","",2019-12-31,,Incoming,FALSE,FALSE
203500,300001,2019,2020-02-10T09:59:58.779Z,2020-01-07T00:00:00Z,2019-12-31T00:00:00Z,Preventing and Responding to GBV in Drought Affected Communities,2020-01-01T00:00:00Z,Standard,f,"",Traditional aid,,paid,2020-04-02,5,internal,single,4762,40,Central Emergency Response Fund,2019,948,4293,10,125,LSO,165930,41,Lesotho Flash Appeal 2019-2020,United Nations Population Fund,Protection,Lesotho,Protection,2020,Primary,United Nations Population Fund,Email,2020-01-31T00:00:00.000Z,,"","","","","",UOH27,"","",,"","",unearmarked,"","",,"",5322,PROTECTION,"","",2019-12-31,,Incoming,FALSE,FALSE
203501,970000,2019,2020-01-29T04:25:16.055Z,2020-01-06T00:00:00Z,2019-12-31T00:00:00Z,Support to Drought affected populations in the Southern districts of Lesotho,2020-01-01T00:00:00Z,Standard,f,"",Traditional aid,,paid,2020-04-02,4,internal,single,4762,40,Central Emergency Response Fund,2019,948,3049,6,125,LSO,165921,41,Lesotho Flash Appeal 2019-2020,World Food Programme,Food Security,Lesotho,Food Security,2020,Primary,Central Emergency Response Fund,From CERF,2020-01-29T00:00:00.000Z,,"","","","","",19-RR-WFP-075,"","",,"","",unearmarked,"","",,"",5319,FOOD SECURITY,"","",2019-12-31,,Incoming,FALSE,FALSE
203502,150002,2019,2020-01-29T04:25:16.959Z,2020-01-06T00:00:00Z,2019-12-31T00:00:00Z,Response to the health effects of drought in Lesotho,2020-01-01T00:00:00Z,Standard,f,"",Traditional aid,,paid,2020-04-02,4,internal,single,4762,40,Central Emergency Response Fund,2019,948,4398,7,125,LSO,165923,41,Lesotho Flash Appeal 2019-2020,World Health Organization,Health,Lesotho,Health,2020,Primary,Central Emergency Response Fund,From CERF,2020-01-29T00:00:00.000Z,,"","","","","",19-RR-WHO-058,"","",,"","",unearmarked,"","",,"",5320,HEALTH,"","",2019-12-31,,Incoming,FALSE,FALSE
203590,195001,2020,2020-01-08T04:25:12.737Z,2020-01-07T00:00:00Z,2020-01-03T00:00:00Z,"Drought affected population have access to lifesaving nutrition, safe water and hygiene services (part of 19-RR-CEF-119)",2020-01-04T00:00:00Z,Standard,f,"",Traditional aid,,paid,2020-04-02,3,internal,single,4762,41,Central Emergency Response Fund,2020,948,2915,9,125,LSO,165926,41,Lesotho Flash Appeal 2019-2020,United Nations Children's Fund,Nutrition,Lesotho,Nutrition,2020,Primary,Central Emergency Response Fund,From CERF,2020-01-08T00:00:00.000Z,,"","","","","",19-RR-CEF-119,"","",,"","",unearmarked,"","",,"",5321,NUTRITION,"","",2020-01-03,,Incoming,FALSE,FALSE
203591,555001,2020,2020-01-08T04:25:13.976Z,2020-01-07T00:00:00Z,2020-01-03T00:00:00Z,"Drought affected population have access to lifesaving nutrition, safe water and hygiene services (part of 19-RR-CEF-119)",2020-01-04T00:00:00Z,Standard,f,"",Traditional aid,,paid,2020-04-02,3,internal,single,4762,41,Central Emergency Response Fund,2020,948,2915,11,125,LSO,165927,41,Lesotho Flash Appeal 2019-2020,United Nations Children's Fund,Water Sanitation Hygiene,Lesotho,WASH,2020,Primary,Central Emergency Response Fund,From CERF,2020-01-08T00:00:00.000Z,,"","","","","",19-RR-CEF-119,"","",,"","",unearmarked,"","",,"",5323,"WATER, SANITATION AND HYGIENE","","",2020-01-03,,Incoming,FALSE,FALSE
207539,284027,,2020-04-02T16:17:38.747Z,2020-03-19T00:00:00Z,2020-01-30T00:00:00Z,Counter Trafficking in Persons and Smuggling of Migrants through Victims of Trafficking  (VoT) Crisis Shelter Rehabilitation and Building Immigration Department's Capacities in Lesotho,2020-03-19T00:00:00Z,Standard,t,"",Cash transfer programming (CTP),,commitment,2020-04-02,1,incoming,single,4537,41,"Japan, Government of",2020,948,2986,10,125,LSO,165930,41,Lesotho Flash Appeal 2019-2020,International Organization for Migration,Protection,Lesotho,Protection,2020,Primary,"Japan, Government of",Email,2020-03-19T00:00:00.000Z,,112,JPN,Japan,"","","","","",,"","","","","",,"",5322,PROTECTION,"","",2020-03-19,,Incoming,FALSE,FALSE
218721,4593640,2020,2020-09-19T02:25:23.378Z,2020-08-18T00:00:00Z,2020-08-18T00:00:00Z,"Drought and COVID-19 Pandemic in Lesotho: Agriculture, Food Security and Protection Support to Vulnerable Communities (part of ECHO/-SF/EDF/2020/01012)",2020-09-18T00:00:00Z,Standard,t,EUR,Traditional aid,214986,commitment,2020-09-19,1,incoming,single,8523,41,European Commission's Humanitarian Aid and Civil Protection Department,2020,948,3049,6,125,LSO,165921,41,Lesotho Flash Appeal 2019-2020,World Food Programme,Food Security,Lesotho,Food Security,2020,Primary,European Commission's Humanitarian Aid and Civil Protection Department,From EDRIS,2020-09-18T00:00:00.000Z,3900000,"","","","","",ECHO/-SF/EDF/2020/01012,"","",0.849,"","","","","",,"",5319,FOOD SECURITY,"","",2020-08-18,,Incoming,FALSE,FALSE
218722,588928,2020,2020-09-19T02:25:23.635Z,2020-08-18T00:00:00Z,2020-08-18T00:00:00Z,"Drought and COVID-19 Pandemic in Lesotho: Agriculture, Food Security and Protection Support to Vulnerable Communities (part of ECHO/-SF/EDF/2020/01012)",2020-09-18T00:00:00Z,Standard,t,EUR,Traditional aid,214987,commitment,2020-09-19,1,incoming,single,8523,41,European Commission's Humanitarian Aid and Civil Protection Department,2020,948,3049,"",125,LSO,,41,Lesotho Flash Appeal 2019-2020,World Food Programme,"",Lesotho,"",2020,Primary,European Commission's Humanitarian Aid and Civil Protection Department,From EDRIS,2020-09-18T00:00:00.000Z,500000,"","","",911,Coronavirus disease Outbreak - COVID -19,ECHO/-SF/EDF/2020/01012,"","",0.849,"","","","","",,"","","","","",2020-08-18,,Incoming,FALSE,FALSE
222612,5174644,2020,2020-11-10T10:28:52.952Z,2020-09-23T00:00:00Z,2020-09-23T00:00:00Z,Supporting life-saving multi-sectoral interventions responding to the impact of climate shocks on children in Southern Africa,2020-11-04T00:00:00Z,Standard,t,GBP,Traditional aid,,paid,2020-11-10,1,incoming,single,2917,41,"United Kingdom, Government of",2020,948,3049,6,125,LSO,165921,41,Lesotho Flash Appeal 2019-2020,World Food Programme,Food Security,Lesotho,Food Security,2020,Primary,"United Kingdom, Government of",Email,2020-11-04T00:00:00.000Z,4000000,236,GBR,United Kingdom,"","",300531-103,"","",0.773,"","","","","",,"",5319,FOOD SECURITY,"","",2020-09-23,,Incoming,FALSE,FALSE
