Country Code,Country,Income Type,Region,Source,Classification,Approval Date,Last Updated,Project Title,Project ID,Total Committed Amount (original currency mn),x : USD,Total Amount Committed (USD mn),Loan Amount Committed (USD mn),Grant Amount Committed (USD mn),Grant Portion,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Apr-16,May-16,Jun-16,Aug-16,Sep-16,Total Disbursed,Comment,Press release/project website,Additional source,potential_duplication
NPL,Nepal,Low income,South Asia,"India, Government of",,2015-04-25,2015-05-01,"humanitarian relief and rescue operation—Operation Maitri:
- several aircraft, carrying medical supplies, and a mobile hospital;
-	Deployed 10 NDRF teams (450 people including 90 NDRF personnel internationally trained in search-and-rescue) 
-	an engineering task force, 18 medical units, and six medical teams; 
-	The trucks from Uttar Pradesh carried medical supplies and a team of 41 medical and paramedical staff; An alternative means of getting in relief material, the land route, has been made operational now;
 -	One Unmanned Aerial Vehicle is also on the way;
-	Communication experts - restore the broken communication system 
-	Indian Army deployed; 10 Inmarsat systems for satellite communications. 250 high frequency wireless sets were sent to coordinate rescue and relief work;
-	team of power officials and officials from the Indian Oil Corporation restore electricity and fuel in Kathmandu.","",,,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,FALSE
NPL,Nepal,Low income,South Asia,"Pakistan, Government of",,2015-04-25,2015-05-11,"in kind - 8 x C-130 Cargo aircraft to transport relief and rescue equipment along with specialist teams; a 30-bed field hospital with 50-member team of doctors, paramedics and technicians, treated 1,200 patients; 38-member Urban search-and-Rescue Teams equipped with radars, concrete cutters, and other rescue equipment; food items: 3,000 ready meals, 215 food pack, 1 ton rice, 500 kg lentils, drinking water for 4,000 families,  1,550 tents,1,000 blankets, 1 ton medicine; 7 Nepalese doctors ferried to Nepal free of cost","",,,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,FALSE
NPL,Nepal,Low income,South Asia,Turkish Red Crescent Society,,2015-04-25,2015-04-30,in kind - 320 food parcels,"",0.015616,2.659854,0.005871,,0.005871,1,0.005871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005871,,,,FALSE
NPL,Nepal,Low income,South Asia,Turkish Red Crescent Society,,2015-04-25,2015-04-30,"in kind - 1000 blankets Blankets,1000 kgs  (Air)","",0.01458,2.660099,0.005481,,0.005481,1,0.005481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005481,,,,FALSE
NPL,Nepal,Low income,South Asia,"Denmark, Government of",,2015-04-25,2015-05-21,"Emergency response in Nepal - Shelter and non-food items 
 (2014-32210)","2014-32210, [EDRIS:71344]",2,6.891,0.290234,,0.290234,1,0.290234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.290234,,,,FALSE
NPL,Nepal,Low income,South Asia,"France, Government of",,2015-04-25,2015-06-16,Venir au secours des victimes,[EDRIS:71683],0.9,0.923,0.975081,,0.975081,1,0.975081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.975081,,,,FALSE
NPL,Nepal,Low income,South Asia,Friends of UNFPA,,2015-04-25,2015-11-09,Ensuring lifesaving sexual reproductive health services (SRH) in earthquake affected districts,"",,,0.008654,,0.008654,1,0.008654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008654,,,,FALSE
NPL,Nepal,Low income,South Asia,Singapore Red Cross Society,,2015-04-26,2015-05-06,relief items and emergency supplies in response to the earthquake that struck Nepal,"",0.19,1.374,0.138282,,0.138282,1,0.138282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138282,,,,FALSE
NPL,Nepal,Low income,South Asia,European Commission's Humanitarian Aid and Civil Protection Department,,2015-04-26,2015-05-05,"immediate response to the vast devastation caused by the earthquake that hit Nepal - to help address the most urgent needs: clean water, food, medicine, emergency shelter and telecommunication.","",6,0.904,6.637168,,6.637168,1,6.637168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.637168,,,,FALSE
NPL,Nepal,Low income,South Asia,Red Cross Society of China,,2015-04-26,2015-04-27,financial and in-kind contribution (including 2000 tents),"",5,5.952381,0.84,,0.84,1,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,,,,FALSE
NPL,Nepal,Low income,South Asia,"Israel, Government of",,2015-04-26,2015-05-06,"A 290-member mission from the Home Front Command; the mission rapidly established and opened an advanced multi-department hospital in Kathmandu, equipped with approximately 95 tons of humanitarian and medical supplies and a medical staff of 122 doctors, nurses and paramedics, to provide care for disaster casualties. The facility and includes pediatric, surgical, internal medicine, neonatal, and radiology departments as well as a maternity ward and emergency and operating rooms. The hospital has the equipment, capacity and manpower to treat approximately 200 patients each day; the mission also comprises highly skilled search and rescue teams from the IDF National Search and Rescue Unit, who commenced operation in Kathmandu on 28 April 2015.","",,,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,FALSE
NPL,Nepal,Low income,South Asia,"Japan, Government of",,2015-04-26,2015-04-29,"Japan Disaster Relief (JDR) Rescue Team, with 70 members; assessment team which consists of 4 members; Japan Disaster Relief Medical Team","",,,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,FALSE
NPL,Nepal,Low income,South Asia,"Japan, Government of",,2015-04-26,2015-04-28,"to provide emergency relief goods (Tents, blankets etc.) to Nepal, in response to the request from the Government of Nepal following the damage caused by the massive earthquake.","",25,119.9202,0.208472,,0.208472,1,0.208472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.208472,,,,FALSE
NPL,Nepal,Low income,South Asia,"Korea, Republic of, Government of",,2015-04-26,2015-05-06,cash and in kind emergency assistance,"",,,1,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,FALSE
NPL,Nepal,Low income,South Asia,"Australia, Government of",,2015-04-26,2015-05-12,"life-saving humanitarian support to Nepal - Emergency relief for water, sanitation, child and maternal health and shelter (World Vision, Save the Children, Caritas, Care, Plan, Oxfam)","",2.5,1.306,1.914242,,1.914242,1,1.914242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.914242,,,,FALSE
NPL,Nepal,Low income,South Asia,"Australia, Government of",,2015-04-26,2015-04-30,life-saving humanitarian support to Nepal,"",0.5,1.306,0.382848,,0.382848,1,0.382848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.382848,,,,FALSE
