id,amountUSD,budgetYear,createdAt,date,decisionDate,description,firstReportedDate,flowType,newMoney,originalCurrency,method,parentFlowId,status,updatedAt,versionId,boundary,onBoundary,source_Organization_id,source_UsageYear_id,Donor,source_UsageYear_name,destination_Plan_id,destination_Organization_id,destination_GlobalCluster_id,destination_Location_id,destination_iso3,destination_Project_id,destination_UsageYear_id,destination_Plan_name,Recipient.Organization,destination_GlobalCluster_name,Destination.Country,destination_Project_name,destination_UsageYear_name,report_type,report_organisation,report_channel,report_date,originalAmount,source_Location_id,source_iso3,source_Location_name,destination_Emergency_id,destination_Emergency_name,refCode,source_GlobalCluster_id,source_GlobalCluster_name,exchangeRate,source_Plan_id,source_Plan_name,grandBargainEarmarkingType,source_Emergency_id,source_Emergency_name,source_Project_id,source_Project_name,destination_Cluster_id,destination_Cluster_name,source_Cluster_id,source_Cluster_name,analysis_date,emergency_boundary,plan_boundary,description_search_flag,potential_overlap_flag
129182,33175000,2015,2015-05-19T14:47:00Z,2015-05-12T00:00:00Z,2015-05-12T00:00:00Z,Private sector contributions to the Nepal earthquake,2015-05-19T14:47:00Z,Standard,t,USD,Traditional aid,,commitment,2015-06-18,1,incoming,single,4543,37,Private (individuals & organizations),2015,"","","",156,NPL,,37,"","","",Nepal,"",2015,Primary,"",Other,2015-05-19T14:47:00.000Z,,"","","",629,NEPAL - Earthquake - April 2015,"","","",,"","","","","",,"","","","","",2015-05-12,Incoming,,FALSE,FALSE
127944,138282,2015,2015-04-27T11:17:00Z,2015-04-26T00:00:00Z,2015-04-26T00:00:00Z,relief items and emergency supplies in response to the earthquake that struck Nepal,2015-04-27T11:17:00Z,Standard,f,SGD,Traditional aid,,paid,2015-05-06,1,internal,single,2173,37,Singapore Red Cross Society,2015,"","","",156,NPL,,37,"","","",Nepal,"",2015,Primary,"",Other,2015-04-27T11:17:00.000Z,190000,"","","",629,NEPAL - Earthquake - April 2015,"","","",1.374,"","","","","",,"","","","","",2015-04-26,Incoming,,FALSE,FALSE
127967,6637168,2015,2015-04-27T12:51:00Z,2015-04-26T00:00:00Z,2015-04-26T00:00:00Z,"immediate response to the vast devastation caused by the earthquake that hit Nepal - to help address the most urgent needs: clean water, food, medicine, emergency shelter and telecommunication.",2015-04-27T12:51:00Z,Standard,t,EUR,Traditional aid,,commitment,2015-05-05,1,incoming,single,8523,37,European Commission's Humanitarian Aid and Civil Protection Department,2015,"","","",156,NPL,,37,"","","",Nepal,"",2015,Primary,European Commission's Humanitarian Aid and Civil Protection Department,Other,2015-04-27T12:51:00.000Z,6000000,"","","",629,NEPAL - Earthquake - April 2015,"","","",0.904,"","","","","",,"","","","","",2015-04-26,Incoming,,FALSE,FALSE
127971,0,2015,2015-04-27T12:51:00Z,2015-04-27T00:00:00Z,2015-04-27T00:00:00Z,"in kind - sent 5 TAs, 1 ERCC Liaison",2015-04-27T12:51:00Z,Standard,t,EUR,Traditional aid,,paid,2015-05-01,1,incoming,single,2966,37,European Commission,2015,"","",26480,156,NPL,,37,"","",Coordination and support services,Nepal,"",2015,Primary,"",Other,2015-04-27T12:51:00.000Z,,"","","",629,NEPAL - Earthquake - April 2015,"","","",,"","","","","",,"","","","","",2015-04-27,Incoming,,FALSE,FALSE
127976,500000,2015,2015-04-27T17:03:00Z,2015-12-01T00:00:00Z,2015-12-01T00:00:00Z,"The project will recover food security and livelihoods of at least 850 earthquake-affected households in Gorkha district, Nepal.",2015-04-27T17:03:00Z,Standard,t,USD,Traditional aid,,paid,2016-01-11,1,incoming,single,6547,37,Taiwan International Cooperation and Development Fund,2015,486,8528,6,156,NPL,41727,37,Nepal Earthquake Flash Appeal 2015,CARE Nepal,Food Security,Nepal,"Addressing the immediate food security needs of 10,000 earthquake-affected households in Dadhing, Gorkha, and Sindupalchowk Districts, Nepal",2015,Primary,Taiwan International Cooperation and Development Fund,Other,2015-04-27T17:03:00.000Z,,"","","",629,NEPAL - Earthquake - April 2015,"","","",,"","","","","",,"",1984,FOOD SECURITY,"","",2015-12-01,Incoming,Incoming,FALSE,FALSE
127980,840000,2015,2015-04-27T17:19:00Z,2015-04-26T00:00:00Z,2015-04-26T00:00:00Z,financial and in-kind contribution (including 2000 tents),2015-04-27T17:19:00Z,Standard,f,CNY,Traditional aid,,paid,2015-04-27,1,internal,single,2053,37,Red Cross Society of China,2015,"","","",156,NPL,,37,"","","",Nepal,"",2015,Primary,"",Other,2015-04-27T17:19:00.000Z,5000000,"","","",629,NEPAL - Earthquake - April 2015,"","","",5.952381,"","","","","",,"","","","","",2015-04-26,Incoming,,FALSE,FALSE
127930,19500,2015,2015-04-27T10:29:00Z,2015-04-27T00:00:00Z,2015-04-27T00:00:00Z,relief team -  USAR and medical coordination,2015-04-27T10:29:00Z,Standard,t,USD,Traditional aid,,paid,2015-04-27,1,incoming,single,4844,37,"Hungary, Government of",2015,"","",7,156,NPL,,37,"","",Health,Nepal,"",2015,Primary,"",Other,2015-04-27T10:29:00.000Z,,101,HUN,Hungary,629,NEPAL - Earthquake - April 2015,"","","",,"","","","","",,"","","","","",2015-04-27,Incoming,,FALSE,FALSE
127957,0,2015,2015-04-27T12:22:00Z,2015-04-25T00:00:00Z,2015-04-25T00:00:00Z,"humanitarian relief and rescue operation—Operation Maitri:
- several aircraft, carrying medical supplies, and a mobile hospital;
-	Deployed 10 NDRF teams (450 people including 90 NDRF personnel internationally trained in search-and-rescue) 
-	an engineering task force, 18 medical units, and six medical teams; 
-	The trucks from Uttar Pradesh carried medical supplies and a team of 41 medical and paramedical staff; An alternative means of getting in relief material, the land route, has been made operational now;
 -	One Unmanned Aerial Vehicle is also on the way;
-	Communication experts - restore the broken communication system 
-	Indian Army deployed; 10 Inmarsat systems for satellite communications. 250 high frequency wireless sets were sent to coordinate rescue and relief work;
-	team of power officials and officials from the Indian Oil Corporation restore electricity and fuel in Kathmandu.",2015-04-27T12:22:00Z,Standard,t,USD,Traditional aid,,paid,2015-05-01,1,incoming,single,4846,37,"India, Government of",2015,"","","",156,NPL,,37,"","","",Nepal,"",2015,Primary,"",Other,2015-04-27T12:22:00.000Z,,103,IND,India,629,NEPAL - Earthquake - April 2015,"","","",,"","","","","",,"","","","","",2015-04-25,Incoming,,FALSE,FALSE
127962,0,2015,2015-04-27T12:26:00Z,2015-04-26T00:00:00Z,2015-04-26T00:00:00Z,"A 290-member mission from the Home Front Command; the mission rapidly established and opened an advanced multi-department hospital in Kathmandu, equipped with approximately 95 tons of humanitarian and medical supplies and a medical staff of 122 doctors, nurses and paramedics, to provide care for disaster casualties. The facility and includes pediatric, surgical, internal medicine, neonatal, and radiology departments as well as a maternity ward and emergency and operating rooms. The hospital has the equipment, capacity and manpower to treat approximately 200 patients each day; the mission also comprises highly skilled search and rescue teams from the IDF National Search and Rescue Unit, who commenced operation in Kathmandu on 28 April 2015.",2015-04-27T12:26:00Z,Standard,t,USD,Traditional aid,,paid,2015-05-06,1,incoming,single,4847,37,"Israel, Government of",2015,"","",26480,156,NPL,,37,"","",Coordination and support services,Nepal,"",2015,Primary,"Israel, Government of",Other,2015-04-27T12:26:00.000Z,,109,ISR,Israel,629,NEPAL - Earthquake - April 2015,"","","",,"","","","","",,"","","","","",2015-04-26,Incoming,,FALSE,FALSE
127931,0,2015,2015-04-27T10:31:00Z,2015-04-27T00:00:00Z,2015-04-27T00:00:00Z,relief team -  medical team,2015-04-27T10:31:00Z,Standard,t,USD,Traditional aid,,paid,2015-05-04,1,incoming,single,3774,37,"Italy, Government of",2015,"","",7,156,NPL,,37,"","",Health,Nepal,"",2015,Primary,"",Other,2015-04-27T10:31:00.000Z,,110,ITA,Italy,629,NEPAL - Earthquake - April 2015,"","","",,"","","","","",,"","","","","",2015-04-27,Incoming,,FALSE,FALSE
