destination_Organization_id,id,amountUSD,budgetYear,createdAt,date,decisionDate,description,firstReportedDate,flowType,newMoney,originalCurrency,method,parentFlowId,status,updatedAt,versionId,boundary,onBoundary,source_Organization_id,source_UsageYear_id,Donor,source_UsageYear_name,destination_Plan_id,destination_GlobalCluster_id,destination_Location_id,destination_iso3,destination_Project_id,destination_UsageYear_id,destination_Plan_name,Recipient.Organization,destination_GlobalCluster_name,Destination.Country,destination_Project_name,destination_UsageYear_name,report_type,report_organisation,report_channel,report_date,originalAmount,source_Location_id,source_iso3,source_Location_name,destination_Emergency_id,destination_Emergency_name,refCode,source_GlobalCluster_id,source_GlobalCluster_name,exchangeRate,source_Plan_id,source_Plan_name,grandBargainEarmarkingType,source_Emergency_id,source_Emergency_name,source_Project_id,source_Project_name,destination_Cluster_id,destination_Cluster_name,source_Cluster_id,source_Cluster_name,Recipient.Organization.Type,analysis_date,flow_date_type,emergency_boundary,plan_boundary,description_search_flag,potential_overlap_flag
"",157170,1620162,2017,2017-04-27T10:56:26.168Z,2017-04-10T00:00:00Z,"",Logistics support (DoD),2017-04-10T00:00:00Z,Standard,t,USD,Traditional aid,,commitment,2017-04-27,2,incoming,single,2933,38,"United States of America, Government of",2017,"",8,175,PER,,38,"","",Logistics,Peru,"",2017,Primary,"United States of America, Government of",Email,2017-04-24T00:00:00.000Z,,237,USA,United States,669,Peru - Floods - March 2017,"","","",,"","","","","",,"","","","","",,2017-04-10,reported date,Incoming,,FALSE,FALSE
"",157171,1136994,2017,2017-04-27T10:57:59.313Z,2017-04-10T00:00:00Z,"",Logistics support (State/INL),2017-04-10T00:00:00Z,Standard,t,USD,Traditional aid,,commitment,2017-04-27,2,incoming,single,2933,38,"United States of America, Government of",2017,"",8,175,PER,,38,"","",Logistics,Peru,"",2017,Primary,"United States of America, Government of",Email,2017-04-24T00:00:00.000Z,,237,USA,United States,669,Peru - Floods - March 2017,"","","",,"","","","","",,"","","","","",,2017-04-10,reported date,Incoming,,FALSE,FALSE
"",160902,77000,2017,2017-07-03T14:24:45.866Z,2017-05-10T00:00:00Z,"","Peru/Floods-2017 Water, Sanitation and Hygiene through USAID Peru (USAID/OFDA)",2017-06-06T00:00:00Z,Standard,t,USD,Traditional aid,,commitment,2017-11-24,1,incoming,single,2933,38,"United States of America, Government of",2017,"",11,175,PER,,38,"","",Water Sanitation Hygiene,Peru,"",2017,Secondary,"United States of America, Government of",Email,2017-06-06T00:00:00.000Z,,237,USA,United States,669,Peru - Floods - March 2017,AID-527-F-17-00009,"","",,"","","","","",,"","","","","",,2017-05-10,approved date,Incoming,,FALSE,FALSE
"",160903,55031,2017,2017-11-24T14:01:44.010Z,2017-06-06T00:00:00Z,"",Peru/Floods-2017: Programme support (USAID/OFDA),2017-06-06T00:00:00Z,Standard,t,USD,Traditional aid,,commitment,2017-11-24,2,incoming,single,2933,38,"United States of America, Government of",2017,"",26480,175,PER,,38,"","",Coordination and support services,Peru,"",2017,Primary,"United States of America, Government of",Email,2017-11-01T00:00:00.000Z,,237,USA,United States,669,Peru - Floods - March 2017,"","","",,"","","","","",,"","","","","",,2017-06-06,reported date,Incoming,,FALSE,FALSE
2849,155719,195167,,2017-03-27T14:27:51.185Z,2017-03-24T00:00:00Z,2017-03-24T00:00:00Z,Contribution from the Canadian Humanitarian Assistance Fund (CHAF) in response to flooding in Peru (multi-sector).,2017-03-24T00:00:00Z,Standard,t,CAD,Traditional aid,,commitment,2017-03-29,1,incoming,single,2928,38,"Canada, Government of",2017,"","",175,PER,,38,"",Save the Children,"",Peru,"",2017,Primary,"Canada, Government of",FTS Web,2017-03-24T00:00:00.000Z,262500,40,CAN,Canada,669,Peru - Floods - March 2017,D002717,"","",1.345,"","","","","",,"","","","","",NGO,2017-03-24,reported date,Incoming,,FALSE,FALSE
2849,156956,50000,2017,2017-04-18T10:12:23.520Z,2017-03-27T00:00:00Z,2017-03-27T00:00:00Z,"Water, Sanitation and Hygiene (USAID/OFDA)",2017-04-04T00:00:00Z,Standard,t,USD,Traditional aid,,commitment,2017-04-18,1,incoming,single,2933,38,"United States of America, Government of",2017,593,11,175,PER,51277,38,Peru Flash Appeal 2017,Save the Children,Water Sanitation Hygiene,Peru,"Guarantee safe water handling and access, and hygiene promotion, to severely affected people, especially people in shelters and displaced, with focus on women, children, in the emergency occurred in Northern Peru  ",2017,Primary,"United States of America, Government of",Email,2017-04-04T00:00:00.000Z,,237,USA,United States,669,Peru - Floods - March 2017,AID-527-F-17-00005,"","",,"","","","","",,"",3579,WASH,"","",NGO,2017-03-27,approved date,Incoming,Incoming,FALSE,FALSE
2849,166601,2400000,2017,2017-11-24T14:21:31.101Z,2017-08-03T00:00:00Z,"","Water, Sanitation and Hygiene,Humanitarian Studies, Analysis, or Applications,Shelter and Settlements (USAID/OFDA)",2017-11-01T00:00:00Z,Standard,t,USD,Traditional aid,,commitment,2017-11-24,1,incoming,single,2933,38,"United States of America, Government of",2017,593,11 | 4,175,PER,,38,Peru Flash Appeal 2017,Save the Children,Water Sanitation Hygiene | Emergency Shelter and NFI,Peru,"",2017,Primary,"United States of America, Government of",Email,2017-11-24T00:00:00.000Z,,237,USA,United States,669,Peru - Floods - March 2017,AID-OFDA-A-17-00018,"","",,"","","","","",,"",3579 | 3580,WASH | Shelters and Camps Coordination and Management,"","",NGO,2017-08-03,approved date,Incoming,Incoming,FALSE,FALSE
2884,156036,11232,2017,2017-03-31T02:27:54.457Z,2017-03-28T00:00:00Z,2017-03-28T00:00:00Z,Support through EUCP,2017-03-31T00:00:00Z,Standard,t,SEK,Traditional aid,,commitment,2017-04-03,1,incoming,single,2921,38,"Sweden, Government of",2017,"",26480,175,PER,,38,"",Swedish Civil Contingencies Agency (MSB),Coordination and support services,Peru,"",2017,Primary,"Sweden, Government of",From EDRIS,2017-03-31T00:00:00.000Z,100000,216,SWE,Sweden,669,Peru - Floods - March 2017,"","","",8.903,"","","","","",,"","","","","",Government,2017-03-28,approved date,Incoming,,FALSE,FALSE
2915,157315,230416,2017,2017-06-09T08:52:34.729Z,2017-04-22T00:00:00Z,2017-04-22T00:00:00Z,Temporary learning and education spaces safe for the protection of displaced children in Piura,2017-04-23T00:00:00Z,Standard,f,"",Traditional aid,,paid,2017-06-09,5,internal,single,4762,38,Central Emergency Response Fund,2017,593,3,175,PER,51292,38,Peru Flash Appeal 2017,United Nations Children's Fund,Education,Peru,Comprehensive response schools in Piura,2017,Primary,United Nations Children's Fund,Email,2017-05-22T00:00:00.000Z,,"","","",669,Peru - Floods - March 2017,SM170199,"","",,"","",unearmarked,"","",,"",3574,Education,"","",UN agency,2017-04-22,approved date,Incoming,Incoming,FALSE,FALSE
2915,157316,186102,2017,2017-06-09T08:51:46.254Z,2017-04-22T00:00:00Z,2017-04-22T00:00:00Z,Temporary learning and education spaces safe for the protection of displaced children in Piura,2017-04-23T00:00:00Z,Standard,f,"",Traditional aid,,paid,2017-06-09,5,internal,single,4762,38,Central Emergency Response Fund,2017,593,10,175,PER,51299,38,Peru Flash Appeal 2017,United Nations Children's Fund,Protection,Peru,"Well treated and carefree children, adolescents and their families",2017,Primary,United Nations Children's Fund,Email,2017-05-22T00:00:00.000Z,,"","","",669,Peru - Floods - March 2017,SM170199,"","",,"","",unearmarked,"","",,"",3577,Protection,"","",UN agency,2017-04-22,approved date,Incoming,Incoming,FALSE,FALSE
