Donor,amountUSD
"United Kingdom, Government of",3214956
"Australia, Government of",4269438
Private (individuals & organizations),1294808
"New Zealand, Government of",3773405
"United States of America, Government of",4754280
"",149959
"Denmark, Government of",164233
European Commission's Humanitarian Aid and Civil Protection Department,2517491
Western Union Foundation,20000
"Sweden, Government of",948961
Central Emergency Response Fund,5038408
UNICEF National Committee/Australia,1067491
UNICEF National Committee/France,212089
UNICEF National Committee/Japan,100000
UNICEF National Committee/Netherlands,27086
UNICEF National Committee/New Zealand,1706991
UNICEF National Committee/United Kingdom,432384
US Fund for UNICEF,300000
"Japan, Government of",1407870
United Nations Children's Fund,2610402
"Korea, Republic of, Government of",300000
UNICEF National Committee/Korea (Republic of),200000
UNICEF National Committee/Canada,22925
UNICEF National Committee/Germany,221239
UNICEF National Committee/Hong Kong,109211
UNICEF National Committee/Luxembourg,12290
"Andorra, Government of",5593
"Lithuania, Government of",11062
UNICEF National Committee/Andorra,4372
"Canada, Government of",971717
"Russian Federation, Government of",827556
"Estonia, Government of",54171
"Germany, Government of",521258
"Switzerland, Government of",238987
"Netherlands, Government of",2868721
"Italy, Government of",336700
"Spain, Government of",56117
"Luxembourg, Government of",54171
"Malta, Government of",44248
"India, Government of",250000
"United Arab Emirates, Government of",700000
