Country Code,Country,Income Type,Region,Source,Classification,Approval Date,Last Updated,Project Title,Project ID,Total Committed Amount (original currency mn),x : USD,Total Amount Committed (USD mn),Loan Amount Committed (USD mn),Grant Amount Committed (USD mn),Grant Portion,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Oct-15,Total Disbursed,Comment,Press release/project website,Additional source,potential_duplication,Flow ID
VUT,Vanuatu,Lower middle income,East Asia & Pacific,European Commission's Humanitarian Aid and Civil Protection Department,,2015-03-10,2015-09-21,"DIPECHO / YUMI REDI - Everyone is prepared - Disaster preparedness  and Coordination [Consortium led by Save the Children with Oxfam, CARE and the French Red Cross] (ECHO/-XA/BUD/2015/91006)","ECHO/-XA/BUD/2015/91006, [EDRIS:-30748]",1,0.891,1.122334,,1.122334,1,1.122334,0,0,0,0,0,1.122334,,,,FALSE,126056
VUT,Vanuatu,Lower middle income,East Asia & Pacific,Private (individuals & organizations),,2015-03-13,2015-03-25,WASH Assistance to Tropical Cyclone PAM affected Populations in Vanuatu (through GlaxoSmithKline),"",0.05,0.666996,0.074963,,0.074963,1,0.074963,0,0,0,0,0,0.074963,,,,FALSE,126308
VUT,Vanuatu,Lower middle income,East Asia & Pacific,"Denmark, Government of",,2015-03-14,2015-03-25,"Emergency assistance to children and families affected by cyclone Pam, Vanuatu (46.H.7-4-147)","46.H.7-4-147, [EDRIS:69942]",0.3,6.651,0.045106,,0.045106,1,0.045106,0,0,0,0,0,0.045106,,,,FALSE,126283
VUT,Vanuatu,Lower middle income,East Asia & Pacific,"New Zealand, Government of",,2015-03-14,2015-04-21,Deployment of a Disaster Manager from the NZ Ministry of Civil Defence and Emergency Management to support the National Disaster Management Office of Vanuatu.,"",0.0066,1.382,0.004776,,0.004776,1,0.004776,0,0,0,0,0,0.004776,,,,FALSE,127670
VUT,Vanuatu,Lower middle income,East Asia & Pacific,"New Zealand, Government of",,2015-03-14,2015-04-21,"Replenishment of relief supplies rapidly distributed by in country NGOs. Supplies were distributed in Port Villa and Tanna by ADRA, World Vision and UNICEF.",A12188,0.28,1.382,0.202605,,0.202605,1,0.202605,0,0,0,0,0,0.202605,,,,FALSE,127672
VUT,Vanuatu,Lower middle income,East Asia & Pacific,"New Zealand, Government of",,2015-03-14,2015-04-21,Contribution through the High Commission to the Government of Vanuatu following Tropical Cyclone Pam.,"",0.05,1.382,0.036179,,0.036179,1,0.036179,0,0,0,0,0,0.036179,,,,FALSE,127673
VUT,Vanuatu,Lower middle income,East Asia & Pacific,"New Zealand, Government of",,2015-03-14,2015-04-21,"Transport of NZ Government and NZ Red Cross supplies including generators, chainsaw packs, tarpaulins, collapsible water bottles and first aid kits",A12194,0.2,1.382,0.144718,,0.144718,1,0.144718,0,0,0,0,0,0.144718,,,,FALSE,127675
VUT,Vanuatu,Lower middle income,East Asia & Pacific,"Japan, Government of",,2015-03-15,2015-03-17,"Emergency Assistance to Vanuatu in Response to the Cyclone Disaster (Sleeping pads, Plastic sheets)","",20,119.1398,0.16787,,0.16787,1,0.16787,0,0,0,0,0,0.16787,,,,FALSE,125812
VUT,Vanuatu,Lower middle income,East Asia & Pacific,"New Zealand, Government of",,2015-03-15,2015-04-21,Deployment of NZ Government relief supplies including building supplies and food on board the HMNZF Canterbury.,A12194,0.653,1.382,0.472504,,0.472504,1,0.472504,0,0,0,0,0,0.472504,,,,FALSE,127665
VUT,Vanuatu,Lower middle income,East Asia & Pacific,"New Zealand, Government of",,2015-03-15,2015-04-21,Deployment of NZ Government supplies and NZ Red Cross supplies on NZ Defence Force assets.,A12194,0.122,1.382,0.088278,,0.088278,1,0.088278,0,0,0,0,0,0.088278,,,,FALSE,127667
VUT,Vanuatu,Lower middle income,East Asia & Pacific,"New Zealand, Government of",,2015-03-15,2015-04-21,NZ Government contribution through NZ NGOs working through in country partners.,A12187,1,1.382,0.723589,,0.723589,1,0.723589,0,0,0,0,0,0.723589,,,,FALSE,127669
VUT,Vanuatu,Lower middle income,East Asia & Pacific,"Korea, Republic of, Government of",,2015-03-15,2015-07-24,Vanuatu Emergency Response For Internally Displaced Persons And Technical Assistance,"",,,0.2,,0.2,1,0.2,0,0,0,0,0,0.2,,,,FALSE,131888
VUT,Vanuatu,Lower middle income,East Asia & Pacific,"Canada, Government of",,2015-03-16,2015-03-20,"IFRC - Typhoon Pam 2015 - Vanuatu response - NFIs, shelter, health and hygiene promotion, WASH, restoring family links (D000396)",D000396,0.16,1.249,0.128102,,0.128102,1,0.128102,0,0,0,0,0,0.128102,,,,FALSE,126091
