destination_Organization_id,id,amountUSD,budgetYear,createdAt,date,decisionDate,description,firstReportedDate,flowType,newMoney,originalCurrency,method,parentFlowId,status,updatedAt,versionId,boundary,onBoundary,source_Organization_id,source_UsageYear_id,Donor,source_UsageYear_name,destination_Plan_id,destination_GlobalCluster_id,destination_Location_id,destination_iso3,destination_Project_id,destination_UsageYear_id,destination_Plan_name,Recipient.Organization,destination_GlobalCluster_name,Destination.Country,destination_Project_name,destination_UsageYear_name,report_type,report_organisation,report_channel,report_date,originalAmount,source_Location_id,source_iso3,source_Location_name,destination_Emergency_id,destination_Emergency_name,refCode,source_GlobalCluster_id,source_GlobalCluster_name,exchangeRate,source_Plan_id,source_Plan_name,grandBargainEarmarkingType,source_Emergency_id,source_Emergency_name,source_Project_id,source_Project_name,destination_Cluster_id,destination_Cluster_name,source_Cluster_id,source_Cluster_name,Recipient.Organization.Type,analysis_date,flow_date_type,emergency_boundary,plan_boundary,description_search_flag,potential_overlap_flag
"",126009,0,2015,2015-03-19T09:56:00Z,2015-03-18T00:00:00Z,2015-03-18T00:00:00Z,in kind - deploy three additional humanitarian experts to the region to ensure a strong and coordinated response from Commonwealth partners,2015-03-19T09:56:00Z,Standard,t,GBP,Traditional aid,,paid,2015-03-19,1,incoming,single,2917,37,"United Kingdom, Government of",2015,"",26480,241,VUT,,37,"","",Coordination and support services,Vanuatu,"",2015,Primary,"United Kingdom, Government of",Other,2015-03-19T09:56:00.000Z,,236,GBR,United Kingdom,628,VANUATU - Tropical Cyclone Pam - March 2015,"","","",,"","","","","",,"","","","","",,2015-03-18,approved date,Incoming,,FALSE,FALSE
"",126015,0,2015,2015-03-19T10:03:00Z,2015-03-18T00:00:00Z,2015-03-18T00:00:00Z,in kind - provided two C130 planes that travelled from Port Villa to Tanna – flown personnel; ADF infrastructure assessment team and two light vehicles; medical evacuation team; evacuated four critical casualties; is conducting a key leadership engagement (ADF contingent commander and provincial government) to discuss a priority list that would cover reconstruction and aid requirements.,2015-03-19T10:03:00Z,Standard,t,GBP,Traditional aid,,paid,2015-03-19,1,incoming,single,4391,37,"Australia, Government of",2015,"",26480,241,VUT,,37,"","",Coordination and support services,Vanuatu,"",2015,Primary,"Australia, Government of",Other,2015-03-19T10:03:00.000Z,,14,AUS,Australia,628,VANUATU - Tropical Cyclone Pam - March 2015,"","","",,"","","","","",,"","","","","",,2015-03-18,approved date,Incoming,,FALSE,FALSE
"",126010,1694915,2015,2015-03-19T09:57:00Z,2015-03-18T00:00:00Z,2015-03-18T00:00:00Z,RAF heavy lift C-17 to join the Australian-led relief supplies airlift (Amberley/Vanuatu).,2015-03-19T09:57:00Z,Standard,t,GBP,Traditional aid,,paid,2015-03-19,1,incoming,single,2917,37,"United Kingdom, Government of",2015,"",26480,241,VUT,,37,"","",Coordination and support services,Vanuatu,"",2015,Primary,"United Kingdom, Government of",Other,2015-03-19T09:57:00.000Z,1100000,236,GBR,United Kingdom,628,VANUATU - Tropical Cyclone Pam - March 2015,"","","",0.649,"","","","","",,"","","","","",,2015-03-18,approved date,Incoming,,FALSE,FALSE
"",126305,50000,2015,2015-03-25T12:00:00Z,2015-03-19T00:00:00Z,2015-03-19T00:00:00Z,"Yacht Aid Global were monitoring the long range forecasts and started to action aid for Vanuatu via the yachting community even before the cyclone had hit. Their focus is on food, water, shelter and first aid for immediate action. They are seeking donations of any kind to YachtAidGlobal (YAG), and are currently matching donations up to $5,000 USD.",2015-03-25T12:00:00Z,Standard,t,USD,Traditional aid,,paid,2015-03-25,1,incoming,single,4543,37,Private (individuals & organizations),2015,"","",241,VUT,,37,"","","",Vanuatu,"",2015,Primary,Private (individuals & organizations),Other,2015-03-25T12:00:00.000Z,,"","","",628,VANUATU - Tropical Cyclone Pam - March 2015,"","","",,"","","","","",,"","","","","",,2015-03-19,approved date,Incoming,,FALSE,FALSE
"",126309,38023,2015,2015-03-25T12:14:00Z,2015-03-16T00:00:00Z,2015-03-16T00:00:00Z,"Commonwealth Bank today announced that it will be accepting donations at all branches across Australia for the Red Cross appeal to support relief efforts in Vanuatu following the devastation of Cyclone Pam. To kick start the donations, Commonwealth Bank will also be making a A$50,000 donation to the Red Cross appeal.",2015-03-25T12:14:00Z,Standard,t,AUD,Traditional aid,,paid,2015-03-25,1,incoming,single,4543,37,Private (individuals & organizations),2015,"","",241,VUT,,37,"","","",Vanuatu,"",2015,Primary,Private (individuals & organizations),Other,2015-03-25T12:14:00.000Z,50000,"","","",628,VANUATU - Tropical Cyclone Pam - March 2015,"","","",1.314994,"","","","","",,"","","","","",,2015-03-16,approved date,Incoming,,FALSE,FALSE
"",126315,250000,2015,2015-03-25T12:25:00Z,2015-03-18T00:00:00Z,2015-03-18T00:00:00Z,"In-kind - Public charging stations are being deployed across the islands so that customers can power their phones and Digicel is providing US$250,000 in free credit so that customers can get in touch with their loved ones as services are restored. The off-island fibre connectivity has been fully restored (as of March 18th) and bandwidth capacity over satellite has been increased by 500%, ensuring domestic towers have sufficient network capacity available.",2015-03-25T12:25:00Z,Standard,t,USD,Traditional aid,,paid,2015-03-25,1,incoming,single,4543,37,Private (individuals & organizations),2015,"",4,241,VUT,,37,"","",Emergency Shelter and NFI,Vanuatu,"",2015,Primary,Private (individuals & organizations),Other,2015-03-25T12:25:00.000Z,,"","","",628,VANUATU - Tropical Cyclone Pam - March 2015,"","","",,"","","","","",,"","","","","",,2015-03-18,approved date,Incoming,,FALSE,FALSE
"",127662,18090,2015,2015-04-21T16:22:00Z,2015-03-20T00:00:00Z,2015-03-20T00:00:00Z,Purchase of in country building supplies.,2015-04-21T16:22:00Z,Standard,t,NZD,Traditional aid,,paid,2015-04-21,1,incoming,single,5369,37,"New Zealand, Government of",2015,"",4,241,VUT,,37,"","",Emergency Shelter and NFI,Vanuatu,"",2015,Primary,"New Zealand, Government of",Other,2015-04-21T16:22:00.000Z,25000,160,NZL,New Zealand,628,VANUATU - Tropical Cyclone Pam - March 2015,A12194,"","",1.382,"","","","","",,"","","","","",,2015-03-20,approved date,Incoming,,FALSE,FALSE
"",127665,472504,2015,2015-04-21T16:27:00Z,2015-03-15T00:00:00Z,2015-03-15T00:00:00Z,Deployment of NZ Government relief supplies including building supplies and food on board the HMNZF Canterbury.,2015-04-21T16:27:00Z,Standard,t,NZD,Traditional aid,,commitment,2015-04-21,1,incoming,single,5369,37,"New Zealand, Government of",2015,"","",241,VUT,,37,"","","",Vanuatu,"",2015,Primary,"New Zealand, Government of",Other,2015-04-21T16:27:00.000Z,653000,160,NZL,New Zealand,628,VANUATU - Tropical Cyclone Pam - March 2015,A12194,"","",1.382,"","","","","",,"","","","","",,2015-03-15,approved date,Incoming,,FALSE,FALSE
"",127667,88278,2015,2015-04-21T16:28:00Z,2015-03-15T00:00:00Z,2015-03-15T00:00:00Z,Deployment of NZ Government supplies and NZ Red Cross supplies on NZ Defence Force assets.,2015-04-21T16:28:00Z,Standard,t,NZD,Traditional aid,,paid,2015-04-21,1,incoming,single,5369,37,"New Zealand, Government of",2015,"",4,241,VUT,,37,"","",Emergency Shelter and NFI,Vanuatu,"",2015,Primary,"New Zealand, Government of",Other,2015-04-21T16:28:00.000Z,122000,160,NZL,New Zealand,628,VANUATU - Tropical Cyclone Pam - March 2015,A12194,"","",1.382,"","","","","",,"","","","","",,2015-03-15,approved date,Incoming,,FALSE,FALSE
"",127669,723589,2015,2015-04-21T16:29:00Z,2015-03-15T00:00:00Z,2015-03-15T00:00:00Z,NZ Government contribution through NZ NGOs working through in country partners.,2015-04-21T16:29:00Z,Standard,t,NZD,Traditional aid,,paid,2015-04-21,1,incoming,single,5369,37,"New Zealand, Government of",2015,"","",241,VUT,,37,"","","",Vanuatu,"",2015,Primary,"New Zealand, Government of",Other,2015-04-21T16:29:00.000Z,1000000,160,NZL,New Zealand,628,VANUATU - Tropical Cyclone Pam - March 2015,A12187,"","",1.382,"","","","","",,"","","","","",,2015-03-15,approved date,Incoming,,FALSE,FALSE
